Perturbedgene	APC	ARID1A	ARID1B	ATM	BAP1	BID	BRCA1	BRCA2	CASP8	CDH1	CDKN1B	CHEK1	CTCF	GATA3	MLH1	NCOR1	NF1	PTEN	RAD51	RB1	RUNX1	SETD2	STK11	TP53	MKI67
APC	0.139662929883806	-0.0319617342607396	0.0124955235796109	0.125834123143615	-0.100960635303662	-0.227116288307531	-0.0714486951396682	-0.0404697368227408	-0.0717056445869405	0.0160570959151904	0.0458119641395278	-0.0449218988977552	-0.0548216265323861	-0.0767357617575653	-0.00639609797259151	-0.0598324327442454	-0.0353660536555487	-0.0697559261131407	-0.0586794118375881	-0.106309589740551	-0.0412920881143985	0.105175084389911	0.2137715926521	0.170590101892519	-0.0998113046203224
ARID1A	-0.0189994296799756	-0.0246581505885511	0.0335596392362266	0.051129438663356	-0.0752640013382249	-0.0709711104966443	-0.0505524051384372	-0.100716611189259	-0.0569024084024798	-0.0817245792749747	-0.0200594389853493	0.0384740084408014	-0.0379176469570808	0.0641493058188836	-0.0195102314554415	0.0544827958904292	0.0935420241040824	0.0368035120578815	-0.0475237401573595	0.0239179663582925	0.0595091945081359	-0.0932661289768326	0.0669969339049425	0.0139454045202247	-0.0441839544218112
ARID1B	-0.0194051078571007	0.036603832714805	-0.0184418984193022	-0.0358681329854501	-0.0580006885762467	-0.0229285650177281	-0.0732653388088894	-0.00788073453834033	-0.0146201288943476	-0.0537728913170346	-0.0396216172043301	0.0752650150112515	0.0291402839620269	-0.11000124868014	-0.0369221389053033	-0.0206276095646168	0.0545323884260834	0.0746822211468786	-0.000518261103238378	0.0658323807592831	0.0432512922766926	0.0960688574689763	-0.0577938250738183	0.0612052997103802	-0.00793631234961113
ATM	-0.0337046949716664	0.129204057013566	-0.0177146076390162	0.00312054207039184	0.115292969789414	-0.0710118412331424	-0.0615371238008492	-0.013357695377049	0.0243348457336608	0.0171211573355208	-0.0173220350757606	-0.0356864519615075	0.0907425535855104	-0.0205127977849525	0.0104180502208631	-0.0438278946863846	0.0321735579018548	0.0861470725394225	-0.0249903983356569	0.0182465777876687	-0.0480938974685669	-0.0714245784999623	0.141279784501467	0.156584295220921	-0.0602384900553426
BAP1	0.0326255066462701	0.109374584073664	0.140525961905457	0.00643962566426558	-0.0903101810824001	-0.0751721186010217	-0.0998312522110549	-0.0965149724449562	0.00375008492066721	-0.0305779191363885	0.046995330220292	0.0199178628430625	-0.0881789019081559	-0.0347993974469362	-0.0396628484852244	-0.000742891051480614	-0.00383069395438401	0.0857429228565802	-0.0469732529243613	0.0570871473048014	0.00380843642273652	-0.145523066468224	-0.075271998604932	0.00558236370352673	-0.0953199300555409
BID	0.0014271600301865	0.0240033136600946	0.0307954535237419	0.0315730101564001	-0.00631557607321988	-0.0399431017815868	-0.0541613353171908	-0.0477072845234388	-0.125599127011878	-0.0126538252378144	-0.0941567407366345	0.0196842503966145	0.025847107045443	0.0579902047976658	0.0243627249237161	0.0607050729801399	0.0966571901869441	0.0592347694234956	-0.0630061768959792	0.0639797386686653	-0.0671698549400528	-0.0535003914854655	-0.0455126988096331	0.0999469585298754	-0.0902032162373927
BRCA1	0.0487476190198992	0.0536145264030159	-0.0139624165188486	-0.0264097858981071	0.00892641687152426	-0.0567016964208559	0.00797386555087772	-0.0399297161555302	-0.0504824594519389	0.0196273571015963	-0.0374945090390839	-0.107370694740042	0.0982673059224006	0.00974835029931959	0.0342235981951326	0.0429428036060742	-0.0966723719411489	-0.113776255099485	-0.0206460115884059	-0.105458833512042	0.0134582716469298	-0.0493986704796638	0.0473456774820283	0.0617304247560779	-0.0236383698558199
BRCA2	0.00605466121272846	0.00264935760686613	0.0273481424242029	-0.00828531391720017	-0.0396620433332187	-0.00902053001650093	-0.0203136752442871	-0.0311852544842206	0.0965595669185249	-0.0801729097946026	0.00832643290173766	0.0100506710403821	-0.0222030982132869	-0.00848668783727776	0.00412650036107286	0.0447584956519427	0.0298987571536194	0.00483942487210842	-0.038451528116477	0.00612719930132659	0.00183332798516463	-0.0755587517232954	0.00397753166282586	0.0314235848931734	-0.0925657517121575
CASP8	0.0464720701686676	0.0449008893512829	0.0191113034926422	-0.0291406589282097	0.0232799478660614	-0.00807139313572948	-0.0406620501406433	0.0453769119765202	0.13541753697299	0.0290325702506657	-0.0567050791131731	-0.0396680347549318	-0.0275973622649579	-0.0546841608264051	0.036141085865553	0.0366988569921837	-0.0394653478537393	0.0488331631909149	-0.0366330569371484	-0.0164694077594141	0.0855793132703212	0.044762297228982	-0.00629684110540119	-0.0304583677072061	-0.0334220784284855
CDH1	0.0385205868892432	0.0636153510840242	0.0938601429368706	-0.0382706369993223	-0.0502423595701382	-0.0698813277420688	-0.0229253785274214	-0.0806236064229349	0.0129141312596649	-0.150366240903145	-0.0209509908584607	0.0894034637065469	-0.00882013081997758	-0.0715162784411252	0.118979881494672	0.00162813845087897	-0.0559089023481277	-0.00195992303959572	-0.0244952657208504	-0.160371649281657	0.0791263170380625	-0.181483641942312	0.0926943087370771	0.018188258334681	0.0383755706782299
