Perturbedgene	APC	ARID1A	ARID1B	ATM	BAP1	BID	BRCA1	BRCA2	CASP8	CDH1	CDKN1B	CHEK1	CTCF	GATA3	MLH1	NCOR1	NF1	PTEN	RAD51	RB1	RUNX1	SETD2	STK11	TP53	MKI67
APC	0.052	0.688	0.857	0.094	0.183	0.004	0.239	0.435	0.338	0.827	0.467	0.521	0.485	0.32	0.935	0.474	0.628	0.363	0.054	0.172	0.602	0.16	0.003	0.015	0.129
ARID1A	0.76	0.721	0.577	0.417	0.206	0.28	0.334	0.023	0.363	0.167	0.722	0.557	0.553	0.292	0.75	0.408	0.135	0.543	0.096	0.713	0.349	0.136	0.265	0.812	0.424
ARID1B	0.722	0.517	0.711	0.488	0.268	0.673	0.085	0.833	0.807	0.272	0.343	0.157	0.548	0.028	0.491	0.709	0.33	0.165	0.977	0.208	0.42	0.07	0.263	0.223	0.862
ATM	0.56	0.041	0.75	0.947	0.07	0.265	0.217	0.768	0.693	0.767	0.716	0.57	0.15	0.709	0.872	0.534	0.623	0.179	0.343	0.77	0.48	0.24	0.023	0.012	0.265
BAP1	0.615	0.09	0.027	0.92	0.162	0.302	0.07	0.03	0.956	0.604	0.405	0.768	0.187	0.607	0.553	0.991	0.946	0.175	0.083	0.38	0.961	0.026	0.245	0.939	0.108
BID	0.988	0.723	0.635	0.614	0.922	0.553	0.32	0.293	0.058	0.865	0.076	0.769	0.734	0.391	0.679	0.371	0.168	0.379	0.024	0.342	0.329	0.417	0.481	0.111	0.099
BRCA1	0.403	0.397	0.812	0.684	0.891	0.403	0.872	0.344	0.425	0.768	0.494	0.099	0.118	0.868	0.615	0.538	0.153	0.067	0.463	0.101	0.851	0.434	0.463	0.306	0.665
BRCA2	0.917	0.968	0.669	0.909	0.523	0.883	0.685	0.51	0.153	0.202	0.871	0.876	0.714	0.912	0.947	0.532	0.632	0.94	0.181	0.93	0.983	0.255	0.949	0.614	0.114
CASP8	0.448	0.503	0.755	0.617	0.71	0.891	0.44	0.293	0.029	0.607	0.29	0.529	0.645	0.388	0.593	0.59	0.549	0.444	0.175	0.78	0.203	0.486	0.925	0.623	0.548
CDH1	0.509	0.33	0.142	0.549	0.433	0.296	0.644	0.064	0.823	0.014	0.698	0.159	0.897	0.272	0.063	0.978	0.405	0.969	0.353	0.01	0.242	0.007	0.146	0.771	0.476
CDKN1B	0.524	0.902	0.965	0.353	0.295	0.607	0.035	0.096	0.374	0.599	0.703	0.964	0.954	0.654	0.706	0.217	0.778	0.096	0.338	0.35	0.202	0.144	0.064	0.945	0.269
CDKN2A	0.224	0.319	0.843	0.539	0.597	0.903	0.104	0.551	0.681	0.951	0.603	0.534	0.238	0.092	0.133	0.776	0.342	0.692	0.015	0.596	0.378	0.092	0.735	0.875	0.13
CHEK1	0.418	0.868	0.28	0.183	0.497	0.766	0.825	0.785	0.147	0.257	0.344	0.833	0.205	0.464	0.03	0.996	0.226	0.855	0.863	0.487	0.93	0.606	0.293	0.707	0.741
CTCF	0.791	0.219	0.24	0.591	0.154	0	0.008	0.38	0.817	0.314	0.708	0.254	0.475	0.965	0.367	0.435	0.106	0.569	0.047	0.237	0.714	0.544	0.894	0.276	0.099
GATA3	0.087	0.679	0.676	0.248	0.949	0.412	0.558	0.066	0.068	0.26	0.936	0.385	0.362	0.51	0.824	0.211	0.353	0.018	0.075	0.684	0.64	0.744	0.35	0.568	0.024
MLH1	0.404	0.678	0.191	0.224	0.443	0.915	0.18	0.881	0.526	0.033	0.305	0.997	0.832	0.979	0.513	0.251	0.693	0.679	0.25	0.119	0.433	0.977	0.037	0.817	0.944
MLL2	0.511	1	0.806	0.213	0.18	0.131	0.324	0.118	0.449	0.313	0.144	0.623	0.072	0.892	0.807	0.57	0.54	0.533	0.076	0.762	0.634	0.294	0.992	0.249	0.107
