sgrna	gene_signature	LR_score	p_value
APC	TEST_SIGNATURE_1	0.0482663954859853	0.149
ARID1A	TEST_SIGNATURE_1	-0.0233111881986073	0.43
ARID1B	TEST_SIGNATURE_1	-0.00663753566652154	0.793
ATM	TEST_SIGNATURE_1	0.0213155521838108	0.459
BAP1	TEST_SIGNATURE_1	0.0129811859848108	0.683
BID	TEST_SIGNATURE_1	0.00232404983081058	0.941
BRCA1	TEST_SIGNATURE_1	0.00900566084231953	0.754
BRCA2	TEST_SIGNATURE_1	-0.00769163739545648	0.816
CASP8	TEST_SIGNATURE_1	0.0269023031420652	0.339
CDH1	TEST_SIGNATURE_1	-0.00418957636224759	0.889
CDKN1B	TEST_SIGNATURE_1	-0.046279569482935	0.113
CDKN2A	TEST_SIGNATURE_1	-0.0534633273774124	0.073
CHEK1	TEST_SIGNATURE_1	-0.0372665700722353	0.262
CTCF	TEST_SIGNATURE_1	0.0188577934213145	0.464
GATA3	TEST_SIGNATURE_1	-0.0168914627624566	0.554
MLH1	TEST_SIGNATURE_1	0.0100405026482056	0.721
MLL2	TEST_SIGNATURE_1	-0.0243395535599476	0.36
MLL3	TEST_SIGNATURE_1	-0.0775447422709474	0.004
NCOR1	TEST_SIGNATURE_1	0.000959089940525609	0.976
NegCtrl	TEST_SIGNATURE_1	-0.0567556880350352	0.267
NF1	TEST_SIGNATURE_1	-0.0188585935964128	0.503
PTEN	TEST_SIGNATURE_1	0.0146275514252683	0.528
PTPN22	TEST_SIGNATURE_1	-0.0209670195172651	0.555
PTPRD	TEST_SIGNATURE_1	0.00482377575832867	0.877
RAD51	TEST_SIGNATURE_1	-0.0488100111789225	0.088
RB1	TEST_SIGNATURE_1	0.0327954484640398	0.261
RUNX1	TEST_SIGNATURE_1	0.0263578799434654	0.372
SETD2	TEST_SIGNATURE_1	0.0206554412907398	0.514
STK11	TEST_SIGNATURE_1	0.0220769055325461	0.335
TP53	TEST_SIGNATURE_1	0.115026662188535	0
APC	TEST_SIGNATURE_2	-0.0575769534345274	0.178
ARID1A	TEST_SIGNATURE_2	-0.0234646923239085	0.525
ARID1B	TEST_SIGNATURE_2	-0.0440206789373557	0.134
ATM	TEST_SIGNATURE_2	-0.0431428076545333	0.218
BAP1	TEST_SIGNATURE_2	-0.0561879150492704	0.129
BID	TEST_SIGNATURE_2	-0.0208438089807925	0.589
BRCA1	TEST_SIGNATURE_2	-0.0250458722560283	0.469
BRCA2	TEST_SIGNATURE_2	-0.0125398397259959	0.739
CASP8	TEST_SIGNATURE_2	-0.0259580340681942	0.462
CDH1	TEST_SIGNATURE_2	-0.0436924477562711	0.208
CDKN1B	TEST_SIGNATURE_2	-0.04493397904402	0.212
CDKN2A	TEST_SIGNATURE_2	-0.0405342589040169	0.261
CHEK1	TEST_SIGNATURE_2	-0.0442874718010592	0.278
CTCF	TEST_SIGNATURE_2	-0.0957974855122147	0.001
GATA3	TEST_SIGNATURE_2	-0.0472094730063057	0.148
MLH1	TEST_SIGNATURE_2	0.00533196915275482	0.891
MLL2	TEST_SIGNATURE_2	-0.0715089563777261	0.032
MLL3	TEST_SIGNATURE_2	-0.0939288415660779	0.014
NCOR1	TEST_SIGNATURE_2	0.0255223188535883	0.441
NegCtrl	TEST_SIGNATURE_2	-0.0297762449718722	0.908
NF1	TEST_SIGNATURE_2	-0.0104610742020629	0.765
PTEN	TEST_SIGNATURE_2	-0.0612729874678207	0.043
PTPN22	TEST_SIGNATURE_2	-0.0470465798727299	0.252
PTPRD	TEST_SIGNATURE_2	-0.0242914917840135	0.497
RAD51	TEST_SIGNATURE_2	-0.0713870051550923	0.042
RB1	TEST_SIGNATURE_2	0.0199401433595991	0.574
RUNX1	TEST_SIGNATURE_2	0.00418323642804537	0.918
SETD2	TEST_SIGNATURE_2	-0.0599698289040135	0.116
STK11	TEST_SIGNATURE_2	-0.0247758937664467	0.337
TP53	TEST_SIGNATURE_2	0.293617401312392	0
APC	TEST_SIGNATURE_3	-0.0375797316873218	0.226
ARID1A	TEST_SIGNATURE_3	-0.0187840258265041	0.447
ARID1B	TEST_SIGNATURE_3	-0.00853266912888153	0.69
ATM	TEST_SIGNATURE_3	-0.0087717819489174	0.72
BAP1	TEST_SIGNATURE_3	-0.015714827305621	0.54
BID	TEST_SIGNATURE_3	-0.0160845134742003	0.561
BRCA1	TEST_SIGNATURE_3	-0.0136175678129306	0.575
BRCA2	TEST_SIGNATURE_3	0.00614513267680701	0.834
CASP8	TEST_SIGNATURE_3	0.0268314930648853	0.269
CDH1	TEST_SIGNATURE_3	0.008010684714628	0.769
