Row.names	items_in_group.low	lo_value.low	p.low	FDR.low	goodsgrna.low	items_in_group.high	lo_value.high	p.high	FDR.high	goodsgrna.high
APC	79	0.15248	0.76509	1	17	79	0.41514	0.37495	0.563452	23
ARID1A	121	0.028133	0.55658	1	41	121	0.7083	0.67761	0.752896	32
ARID1B	182	0.33762	0.96966	1	46	182	0.13696	0.038316	0.287369	59
ATM	116	0.028443	0.55995	1	36	116	0.47901	0.39295	0.563452	31
BAP1	114	0.056571	0.6489	1	35	114	0.68121	0.66612	0.752896	32
BID	121	0.0071711	0.26785	1	48	121	0.85128	0.86006	0.921498	21
BRCA1	101	0.23854	0.88658	1	34	101	0.386	0.30955	0.563452	30
BRCA2	116	0.031443	0.57168	1	32	116	0.1695	0.082784	0.398008	35
CASP8	110	0.11596	0.76614	1	35	110	0.26786	0.16	0.454614	29
CDH1	122	0.33213	0.94894	1	33	122	0.082253	0.025912	0.25912	35
CDKN1B	110	0.26111	0.90799	1	36	110	0.42554	0.32007	0.563452	32
CDKN2A	110	0.11476	0.75719	1	32	110	0.42663	0.34228	0.563452	33
CHEK1	103	0.43587	0.9676	1	29	103	0.37272	0.28368	0.563452	31
CTCF	146	0.09367	0.77759	1	50	146	0.40665	0.26784	0.563452	32
GATA3	119	0.1741	0.84642	1	37	119	0.54099	0.47287	0.570213	26
MLH1	127	0.36846	0.95935	1	38	127	0.13983	0.062684	0.376102	41
MLL2	133	0.029913	0.58667	1	35	133	0.44236	0.32514	0.563452	35
MLL3	107	0.012579	0.30292	1	36	107	0.51649	0.43505	0.567453	29
NCOR1	120	0.1974	0.87127	1	32	120	0.19886	0.092869	0.398008	38
NF1	129	0.11062	0.78862	1	41	129	0.25256	0.12653	0.421772	37
PTEN	193	0.0072351	0.37467	1	57	193	0.64238	0.47518	0.570213	56
PTPN22	77	0.017189	0.38618	1	26	77	0.17024	0.11137	0.417635	26
PTPRD	101	0.57788	0.9863	1	25	101	0.28754	0.19763	0.494065	31
RAD51	111	0.085983	0.71147	1	39	111	0.86515	0.89375	0.924567	27
RB1	99	0.16227	0.81173	1	34	99	0.48544	0.40544	0.563452	22
RUNX1	129	0.042518	0.6484	1	38	129	0.044428	0.0098901	0.148351	44
SETD2	115	0.07686	0.70932	1	42	115	0.27252	0.16669	0.454614	33
STK11	210	0.12125	0.89347	1	67	210	0.59785	0.4132	0.563452	55
TP53	259	0.4839	0.99625	1	46	259	1.1818e-76	4.9975e-06	0.00015	173
