Perturbedgene	APC	ARID1A	ARID1B	ATM	BAP1	BID	BRCA1	BRCA2	CASP8	CDH1	CDKN1B	CDKN2A	CHEK1	CTCF	GATA3	MLH1	NCOR1	NF1	PTEN	PTPN22	PTPRD	RAD51	RB1	RUNX1	SETD2	STK11	TP53	MKI67
APC	0.106	0.671	0.938	0.086	0.27	0.009	0.322	0.38	0.47	0.954	0.576	0	0.593	0.693	0.18	0.753	0.417	0.704	0.37	0.381	0	0.042	0.18	0.597	0.256	0.001	0.013	0.08
ARID1A	0.881	0.568	0.686	0.279	0.304	0.253	0.811	0.032	0.528	0.294	0.532	0	0.331	0.423	0.553	0.538	0.477	0.107	0.723	0.258	0	0.28	0.846	0.413	0.107	0.286	0.93	0.456
ARID1B	0.874	0.621	0.823	0.571	0.16	0.573	0.367	0.737	0.664	0.235	0.257	0	0.157	0.885	0.016	0.359	0.682	0.301	0.255	0.179	0	0.506	0.347	0.566	0.097	0.315	0.244	0.912
ATM	0.653	0.059	0.627	0.848	0.05	0.287	0.206	0.8	0.746	0.902	0.509	0	0.565	0.267	0.554	0.922	0.428	0.618	0.193	0.327	0	0.546	0.879	0.399	0.227	0.037	0.007	0.304
BAP1	0.851	0.218	0.01	0.928	0.152	0.266	0.09	0.086	0.994	0.848	0.346	0	0.847	0.163	0.62	0.611	0.935	0.953	0.341	0.212	0	0.226	0.329	0.758	0.028	0.196	0.757	0.053
BID	0.907	0.92	0.572	0.738	0.89	0.423	0.256	0.514	0.035	0.722	0.124	0	0.897	0.996	0.419	0.871	0.536	0.206	0.422	0.336	0	0.127	0.372	0.292	0.339	0.558	0.213	0.103
BRCA1	0.207	0.37	0.972	0.803	0.608	0.324	0.963	0.423	0.501	0.884	0.578	0	0.14	0.143	0.919	0.697	0.434	0.134	0.059	0.195	0	0.426	0.068	0.96	0.37	0.597	0.484	0.66
BRCA2	0.731	0.987	0.498	0.991	0.593	0.841	0.638	0.462	0.221	0.422	0.844	0	0.857	0.767	0.806	0.831	0.588	0.826	0.632	0.44	0	0.314	0.801	0.933	0.199	0.983	0.592	0.13
CASP8	0.714	0.62	0.809	0.525	0.661	0.779	0.438	0.062	0.039	0.686	0.322	0	0.547	0.74	0.27	0.699	0.646	0.577	0.616	0.325	0	0.339	0.585	0.311	0.364	0.776	0.722	0.669
CDH1	0.976	0.571	0.101	0.513	0.36	0.305	0.86	0.169	0.855	0.014	0.926	0	0.253	0.766	0.176	0.057	0.893	0.427	0.771	0.452	0	0.889	0.015	0.319	0.009	0.19	0.746	0.777
CDKN1B	0.55	0.789	0.794	0.292	0.401	0.721	0.043	0.137	0.421	0.687	0.991	0	0.817	0.704	0.659	0.858	0.283	0.587	0.214	0.283	0	0.544	0.372	0.172	0.067	0.084	0.665	0.247
CDKN2A	0.219	0.168	0.752	0.665	0.466	0.939	0.042	0.506	0.861	0.905	0.884	0	0.672	0.213	0.104	0.144	0.968	0.358	0.768	0.595	0	0.032	0.603	0.498	0.051	0.94	0.928	0.098
CHEK1	0.365	0.888	0.236	0.375	0.583	0.734	0.592	0.973	0.101	0.142	0.185	0	0.646	0.274	0.705	0.019	0.958	0.274	0.871	0.378	0	0.906	0.564	0.938	0.537	0.327	0.816	0.816
CTCF	0.773	0.254	0.359	0.745	0.252	0	0.031	0.315	0.649	0.197	0.684	0	0.205	0.415	0.891	0.788	0.349	0.093	0.692	0.037	0	0.217	0.207	0.622	0.754	0.949	0.173	0.07
GATA3	0.112	0.584	0.903	0.347	0.916	0.407	0.528	0.138	0.055	0.569	0.815	0	0.372	0.459	0.648	0.994	0.301	0.377	0.038	0.352	0	0.112	0.513	0.781	0.49	0.318	0.865	0.049
MLH1	0.352	0.601	0.189	0.118	0.528	0.996	0.212	0.821	0.488	0.042	0.276	0	0.908	0.744	0.979	0.463	0.324	0.429	0.533	0.432	0	0.32	0.124	0.495	0.956	0.006	0.82	0.702
MLL2	0.59	0.976	0.53	0.217	0.208	0.144	0.538	0.17	0.365	0.391	0.272	0	0.667	0.072	0.962	0.793	0.512	0.641	0.708	0.279	0	0.185	0.574	0.765	0.149	0.985	0.241	0.122
MLL3	0.505	0.008	0.426	0.145	0.333	0.031	0.342	0.143	0.01	0.784	0.504	0	0.197	0.269	0.392	0.56	0.256	0.584	0.625	0.317	0	0.022	0.207	0.233	0.17	0.051	0.392	0.165
NCOR1	0.344	0.587	0.184	0.683	0.1	0.309	0.87	0.243	0.699	0.023	0.346	0	0.801	0.435	0.304	0.742	0.594	0.833	0.896	0.301	0	0.901	0.232	0.135	0.181	0.425	0.963	0.787
NegCtrl	0.711	0.062	0.449	0.341	0.991	0.621	0.965	0.764	0.379	0.694	0.633	0	0.96	0.387	0.233	0.96	0.269	0.989	0.442	0.804	0	0.484	0.666	0.057	0.351	0.18	0.067	0.119
NF1	0.062	0.24	0.724	0.829	0.337	0.376	0.05	0.425	0.358	0.285	0.845	0	0.895	0.542	0.339	0.179	0.35	0.363	0.798	0.328	0	0.041	0.218	0.14	0.136	0.087	0.993	0.039
PTEN	0.306	0.041	0.591	0.563	0.901	0.063	0.296	0.743	0.248	0.31	0.013	0	0.12	0.347	0.163	0.91	0.298	0.289	0.126	0.234	0	0.227	0.94	0.73	0.761	0.92	0.016	0.044
PTPN22	0.982	0.697	0.85	0.032	0.77	0.962	0.469	0.486	0.065	0.218	0.124	0	0.499	0.501	0.238	0.659	0.969	0.936	0.454	0.205	0	0.597	0.671	0.455	0.86	0.178	0.52	0.16
PTPRD	0.716	0.608	0.984	0.975	0.943	0.894	0.345	0.486	0.844	0.747	0.158	0	0.795	0.291	0.231	0.436	0.023	0.745	0.926	0.337	0	0.129	0.297	0.193	0.627	0.594	0.735	0.128
RAD51	0.909	0.433	0.841	0.15	0.986	0.144	0.761	0.17	0.758	0.986	0.572	0	0.748	0.478	0.993	0.814	0.473	0.087	0.987	0.258	0	0.172	0.552	0.155	0.699	0.873	0.195	0.411
RB1	0.499	0.299	0.916	0.755	0.66	0.222	0.953	0.203	0.041	0.433	0.649	0	0.663	0.726	0.788	0.012	0.969	0.716	0.754	0.248	0	0.514	0.049	0.678	0.784	0.617	0.798	0.332
RUNX1	0.889	0.085	0.884	0.583	0.989	0.59	0.921	0.378	0.968	0.729	0.756	0	0.314	0.911	0.111	0.457	0.181	0.134	0.103	0.384	0	0.122	0.023	0.164	0.558	0.829	0.304	0.492
SETD2	0.825	0.045	0.343	0.431	0.163	0.278	0.443	0.145	0.415	0.221	0.606	0	0.856	0.441	0.127	0.451	0.34	0.099	0.52	0.478	0	0.297	0.001	0.003	0.207	0.959	0.875	0.186
STK11	0.226	0.6	0.781	0.475	0.835	0.218	0.268	0.17	0.411	0.399	0.065	0	0.004	0.96	0.005	0.829	0.005	0.407	0.405	0.293	0	0.06	0.85	0.15	0.22	0.008	0.377	0.019
TP53	0.14	0	0.041	0.011	0.069	0	0	0	0.033	0	0.059	0	0	0	0	0.122	0.274	0.141	0.399	0.102	0	0	0.137	0.005	0.002	0.25	0.872	0
