APC	ARID1A	ARID1B	ATM	BAP1	BID	BRCA1	BRCA2	CASP8	CDH1	CDKN1B	CDKN2A	CHEK1	CTCF	GATA3	MLH1	NCOR1	NF1	PTEN	PTPN22	PTPRD	RAD51	RB1	RUNX1	SETD2	STK11	TP53	MKI67
APC	0.084	0.781	0.931	0.402	0.173	0.012	0.747	0.841	0.372	0.675	0.314	0	0.931	0.699	0.425	0.943	0.373	0.867	0.374	0.589	0	0.1	0.26	0.316	0.021	0.005	0.019	0.176
ARID1A	0.669	0.614	0.585	0.192	0.105	0.375	0.676	0.046	0.691	0.456	0.493	0	0.447	0.816	0.143	0.168	0.505	0.092	0.756	0.36	0	0.102	0.889	0.332	0.068	0.561	0.916	0.227
ARID1B	0.805	0.394	0.479	0.863	0.184	0.732	0.481	0.55	0.624	0.392	0.124	0	0.148	0.867	0.059	0.395	0.437	0.103	0.278	0.282	0	0.6	0.482	0.343	0.026	0.403	0.237	0.79
ATM	0.836	0.348	0.616	0.843	0.109	0.304	0.411	0.771	0.336	0.789	0.479	0	0.554	0.167	0.976	0.856	0.506	0.424	0.069	0.478	0	0.218	0.472	0.222	0.515	0.051	0.01	0.172
BAP1	0.742	0.218	0.009	0.927	0.15	0.468	0.114	0.151	0.548	0.521	0.863	0	0.637	0.14	0.387	0.673	0.912	0.908	0.334	0.186	0	0.291	0.384	0.613	0.059	0.329	0.77	0.085
BID	0.756	0.72	0.711	0.708	0.468	0.318	0.221	0.658	0.035	0.449	0.109	0	0.378	0.911	0.488	0.977	0.451	0.032	0.484	0.48	0	0.156	0.627	0.518	0.54	0.907	0.442	0.069
BRCA1	0.289	0.556	0.524	0.695	0.62	0.189	0.808	0.611	0.463	0.937	0.768	0	0.406	0.102	0.665	0.319	0.56	0.252	0.168	0.165	0	0.498	0.036	0.853	0.447	0.624	0.923	0.807
BRCA2	0.76	0.763	0.959	0.896	0.245	0.798	0.414	0.416	0.273	0.473	0.962	0	0.721	0.989	0.994	0.901	0.715	0.559	0.352	0.536	0	0.445	0.902	0.846	0.243	0.941	0.888	0.184
CASP8	0.803	0.997	0.877	0.513	0.945	0.54	0.541	0.16	0.014	0.653	0.172	0	0.666	0.585	0.441	0.992	0.956	0.62	0.404	0.458	0	0.514	0.394	0.58	0.327	0.782	0.529	0.325
CDH1	0.981	0.381	0.066	0.446	0.158	0.287	0.969	0.085	0.411	0.029	0.883	0	0.056	0.771	0.461	0.181	0.403	0.571	0.735	0.62	0	0.734	0.03	0.625	0.022	0.19	0.963	0.863
CDKN1B	0.544	0.732	0.552	0.096	0.311	0.606	0.147	0.197	0.358	0.768	0.889	0	0.979	0.879	0.708	0.539	0.547	0.676	0.195	0.48	0	0.722	0.344	0.154	0.038	0.296	0.64	0.521
CDKN2A	0.071	0.206	0.505	0.801	0.9	0.816	0.134	0.912	0.348	0.789	0.618	0	0.299	0.274	0.152	0.151	0.568	0.203	0.671	0.61	0	0.039	0.611	0.304	0.021	0.68	0.664	0.074
CHEK1	0.316	0.704	0.203	0.571	0.325	0.901	0.566	0.716	0.063	0.134	0.296	0	0.601	0.304	0.27	0.037	0.964	0.349	0.911	0.488	0	0.907	0.657	0.668	0.992	0.287	0.73	0.592
CTCF	0.972	0.439	0.845	0.837	0.419	0.002	0.033	0.419	0.627	0.05	0.835	0	0.196	0.601	0.963	0.831	0.325	0.18	0.407	0.036	0	0.344	0.161	0.992	0.633	0.835	0.074	0.058
GATA3	0.084	0.584	0.862	0.239	0.856	0.3	0.405	0.27	0.039	0.837	0.912	0	0.457	0.707	0.653	0.825	0.164	0.788	0.126	0.514	0	0.08	0.269	0.866	0.453	0.542	0.446	0.074
MLH1	0.58	0.577	0.35	0.374	0.194	0.787	0.266	0.877	0.906	0.102	0.136	0	0.901	0.698	0.785	0.301	0.931	0.565	0.897	0.544	0	0.434	0.113	0.99	0.873	0.011	0.545	0.724
MLL2	0.554	0.686	0.627	0.131	0.232	0.151	0.18	0.149	0.425	0.411	0.497	0	0.517	0.229	0.947	0.832	0.337	0.87	0.882	0.522	0	0.133	0.973	0.785	0.362	0.906	0.662	0.035
MLL3	0.441	0.021	0.438	0.138	0.899	0.061	0.269	0.167	0.002	0.553	0.878	0	0.188	0.171	0.345	0.394	0.168	0.205	0.69	0.459	0	0.022	0.326	0.232	0.073	0.443	0.579	0.059
NCOR1	0.177	0.984	0.147	0.696	0.108	0.287	0.723	0.873	0.673	0.036	0.251	0	0.673	0.291	0.896	0.854	0.433	0.414	0.414	0.168	0	0.766	0.245	0.208	0.603	0.453	0.786	0.947
NegCtrl	0.832	0.235	0.99	0.164	0.383	0.551	0.69	0.186	0.093	0.95	0.899	0	0.324	0.098	0.949	0.832	0.297	0.715	0.06	0.552	0	0.529	0.413	0.131	0.912	0.325	0.307	0.116
NF1	0.216	0.68	0.705	0.598	0.447	0.226	0.087	0.347	0.223	0.333	0.75	0	0.644	0.33	0.158	0.19	0.34	0.585	0.842	0.361	0	0.059	0.76	0.145	0.492	0.045	0.993	0.023
PTEN	0.407	0.116	0.531	0.386	0.287	0.216	0.044	0.36	0.285	0.271	0.012	0	0.054	0.531	0.09	0.56	0.233	0.217	0.37	0.477	0	0.303	0.971	0.927	0.928	0.789	0.162	0.025
PTPN22	0.841	0.735	0.599	0.141	0.911	0.436	0.199	0.259	0.084	0.62	0.079	0	0.502	0.245	0.447	0.949	0.891	0.723	0.24	0.149	0	0.98	0.677	0.858	0.228	0.119	0.317	0.173
PTPRD	0.77	0.648	0.879	0.506	0.676	0.513	0.43	0.271	0.564	0.926	0.24	0	0.85	0.252	0.461	0.554	0.052	0.543	0.889	0.474	0	0.022	0.587	0.241	0.701	0.359	0.788	0.271
RAD51	0.58	0.157	0.889	0.074	0.888	0.059	0.743	0.245	0.792	0.782	0.931	0	0.942	0.5	0.794	0.39	0.847	0.097	0.481	0.266	0	0.158	0.475	0.374	0.433	0.667	0.408	0.205
RB1	0.152	0.76	0.857	0.727	0.669	0.263	0.839	0.029	0.02	0.704	0.995	0	0.564	0.395	0.42	0.022	0.839	0.343	0.745	0.259	0	0.761	0.063	0.843	0.212	0.704	0.794	0.232
RUNX1	0.498	0.406	0.893	0.978	0.927	0.988	0.863	0.547	0.869	0.795	0.727	0	0.296	0.934	0.349	0.613	0.22	0.245	0.063	0.505	0	0.213	0.029	0.332	0.846	0.846	0.253	0.359
SETD2	0.731	0.072	0.389	0.498	0.256	0.366	0.374	0.304	0.443	0.507	0.808	0	0.752	0.52	0.228	0.456	0.395	0.174	0.39	0.578	0	0.332	0	0.008	0.453	0.819	0.894	0.278
STK11	0.375	0.964	0.834	0.778	0.715	0.234	0.471	0.448	0.516	0.244	0.092	0	0.009	0.63	0.019	0.796	0.022	0.659	0.144	0.557	0	0.018	0.987	0.598	0.192	0.001	0.532	0.046
TP53	0.32	0	0.08	0.026	0.067	0	0	0	0.006	0	0.031	0	0	0	0	0.18	0.499	0.102	0.258	0.067	0	0	0.35	0.004	0.004	0.313	0.643	0
